"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"264","Syphilis","SARIMA","2017-2019",2017-12-01,269.000980829944,151.183482107194,188.149362690164,364.265620965615,420.530055895
"265","Syphilis","SARIMA","2017-2019",2018-01-01,368.173272101999,224.101878404674,269.943738241169,481.614578523801,547.824492995675
"266","Syphilis","SARIMA","2017-2019",2018-02-01,359.644620590817,215.371850904969,261.146843182322,473.870147575236,540.704070451895
"267","Syphilis","SARIMA","2017-2019",2018-03-01,403.000669536632,247.617407444697,297.139975941988,524.95995371565,596.037996518178
"268","Syphilis","SARIMA","2017-2019",2018-04-01,362.039548737306,214.595764590797,261.292789413539,479.177365576505,547.821468142345
"269","Syphilis","SARIMA","2017-2019",2018-05-01,382.418570151347,229.347912689855,277.926871759144,503.549638628859,574.408157666419
"270","Syphilis","SARIMA","2017-2019",2018-06-01,413.571804053662,252.675365777236,303.904179972072,540.101413312579,613.907861637571
"271","Syphilis","SARIMA","2017-2019",2018-07-01,381.300571202484,226.773652528102,275.742881540367,503.927552059052,575.751991024148
"272","Syphilis","SARIMA","2017-2019",2018-08-01,374.803039841569,221.00013845487,269.666341965227,497.207067593853,568.993648227298
"273","Syphilis","SARIMA","2017-2019",2018-09-01,354.225946449424,204.55211664784,251.738186390362,474.173405290881,544.737427687615
"274","Syphilis","SARIMA","2017-2019",2018-10-01,357.489747223807,206.333233760337,253.982519918551,478.645549507861,549.925687229489
"275","Syphilis","SARIMA","2017-2019",2018-11-01,326.73526169144,182.486483698029,227.695339323695,443.610474170962,512.700186677603
"276","Syphilis","SARIMA","2017-2019",2018-12-01,277.46001882742,145.597869814772,186.47021220744,386.470489839931,451.471899074856
"277","Syphilis","SARIMA","2017-2019",2019-01-01,366.666735436272,198.879166529142,251.193403379246,503.91296451712,585.380382193072
"278","Syphilis","SARIMA","2017-2019",2019-02-01,365.568500944051,191.469559356006,245.415526921926,509.583116157299,595.479023121967
"279","Syphilis","SARIMA","2017-2019",2019-03-01,412.397762400507,221.514590622577,280.926994186865,569.026721448198,662.125101014383
"280","Syphilis","SARIMA","2017-2019",2019-04-01,384.444014045834,198.446133606408,255.92992323322,539.014131975305,631.386070354661
"281","Syphilis","SARIMA","2017-2019",2019-05-01,369.552358738575,185.814263514638,242.334222163431,523.512774284217,615.839749962908
"282","Syphilis","SARIMA","2017-2019",2019-06-01,380.77665382745,192.154279353668,250.214327793386,538.649978177873,633.278539828309
"283","Syphilis","SARIMA","2017-2019",2019-07-01,370.597358562212,183.542181867393,240.927152288192,528.079597524937,622.703949421757
"284","Syphilis","SARIMA","2017-2019",2019-08-01,359.414864086368,174.452203614495,230.990858543438,516.111912727258,610.507226649721
"285","Syphilis","SARIMA","2017-2019",2019-09-01,349.90609207121,166.702026521788,222.51632858388,506.005802105053,600.261762264145
"286","Syphilis","SARIMA","2017-2019",2019-10-01,349.045922378576,165.016041722115,221.00443693096,506.219557757024,601.214927272047
"287","Syphilis","SARIMA","2017-2019",2019-11-01,329.039379670554,150.339074964472,204.373357910376,483.250718424947,576.845192554734
"288","Syphilis","SARIMA","2017-2019",2019-12-01,315.301524238454,140.142184067141,192.842933891569,467.713015121517,560.519696859114
"289","Syphilis","TBATS","2019",2019-01-01,684.601622292299,544.004267096496,590.84322339793,785.261570272013,841.341469946456
"290","Syphilis","TBATS","2019",2019-02-01,698.781290691873,533.376393570971,588.104756397543,818.994046278128,886.491090434274
"291","Syphilis","TBATS","2019",2019-03-01,679.371769211835,495.093443460562,555.586267946468,815.596180530937,892.744289505454
"292","Syphilis","TBATS","2019",2019-04-01,619.775911789808,429.587226223477,491.484901663027,762.927331844883,844.722599107505
"293","Syphilis","TBATS","2019",2019-05-01,590.69136568537,391.601072131415,455.899051146191,742.916424600504,830.556265220878
"294","Syphilis","TBATS","2019",2019-06-01,684.620018765245,455.677898785824,529.667711783311,859.426569997693,960.000551935238
"295","Syphilis","TBATS","2019",2019-07-01,652.912406369541,417.818124279988,493.279093287864,834.887169153811,940.262592006698
