Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
Nakhon Si Thammarat,1894,126.07,8,0.53,1502382,2005,Pneumonia
Phatthalung,1390,278.33,2,0.4,499399,2005,Pneumonia
Trang,1298,216.67,1,0.17,599066,2005,Pneumonia
Zone:17,2332,253.19,15,1.63,921037,2005,Pneumonia
Krabi,1252,319.63,7,1.79,391709,2005,Pneumonia
Phangnga,413,171.9,1,0.42,240254,2005,Pneumonia
Phuket,667,230.74,7,2.42,289074,2005,Pneumonia
Zone:18,6218,347.13,7,0.39,1791264,2005,Pneumonia
Narathiwat,2608,374.09,0,0.0,697150,2005,Pneumonia
Pattani,1421,224.8,6,0.95,632119,2005,Pneumonia
Yala,2189,473.81,1,0.22,461995,2005,Pneumonia
Zone:19,3214,205.02,6,0.38,1567672,2005,Pneumonia
Satun,579,210.01,1,0.36,275706,2005,Pneumonia
Songkhla,2635,203.95,5,0.39,1291966,2005,Pneumonia
Total,145290,232.01,874,1.4,62623416,2006,Pneumonia
North Region,35287,296.85,331,2.78,11887142,2006,Pneumonia
Zone:1,20727,360.55,74,1.29,5748673,2006,Pneumonia
Chiang Mai,4685,283.23,6,0.36,1654154,2006,Pneumonia
Chiang Rai,6815,556.15,24,1.96,1225386,2006,Pneumonia
Lampang,3341,430.95,13,1.68,775259,2006,Pneumonia
Lamphun,1064,262.62,0,0.0,405146,2006,Pneumonia
Mae Hong Son,1564,614.8,2,0.79,254392,2006,Pneumonia
Nan,1225,256.35,18,3.77,477871,2006,Pneumonia
Phayao,1123,230.81,8,1.64,486554,2006,Pneumonia
Phrae,910,193.65,3,0.64,469911,2006,Pneumonia
Zone:2,8255,239.41,77,2.23,3448091,2006,Pneumonia
Phetchabun,992,98.96,2,0.2,1002388,2006,Pneumonia
Phitsanulok,1687,200.18,1,0.12,842739,2006,Pneumonia
Sukhothai,1267,207.84,2,0.33,609591,2006,Pneumonia
Tak,2097,399.48,39,7.43,524938,2006,Pneumonia
Uttaradit,2212,472.21,33,7.04,468435,2006,Pneumonia
Zone:3,6305,234.35,180,6.69,2690378,2006,Pneumonia
Kamphaeng Phet,2079,285.46,81,11.12,728293,2006,Pneumonia
Nakhon Sawan,2312,214.69,72,6.69,1076911,2006,Pneumonia
Phichit,966,173.02,1,0.18,558314,2006,Pneumonia
Uthai Thani,948,290.03,26,7.95,326860,2006,Pneumonia
Central Region,41571,199.62,377,1.81,20825142,2006,Pneumonia
Bangkok,8569,150.93,11,0.19,5677455,2006,Pneumonia
Zone:4,5938,207.72,68,2.38,2858658,2006,Pneumonia
Ang Thong,602,212.08,1,0.35,283861,2006,Pneumonia
Nonthaburi,1089,110.48,1,0.1,985669,2006,Pneumonia
P.Nakhon S.Ayutthaya,2824,376.15,42,5.59,750757,2006,Pneumonia
Pathum Thani,1423,169.73,24,2.86,838371,2006,Pneumonia
Zone:5,3190,166.56,42,2.19,1915186,2006,Pneumonia
Chai Nat,460,135.47,1,0.29,339568,2006,Pneumonia
Lop Buri,1857,246.82,40,5.32,752364,2006,Pneumonia
Saraburi,658,108.6,1,0.17,605897,2006,Pneumonia
Sing Buri,215,98.92,0,0.0,217357,2006,Pneumonia
Zone:6,8109,244.6,20,0.6,3315213,2006,Pneumonia
Kanchanaburi,2569,309.4,0,0.0,830309,2006,Pneumonia
Nakhon Pathom,1866,228.84,1,0.12,815433,2006,Pneumonia
Ratchaburi,1774,214.71,0,0.0,826212,2006,Pneumonia
Suphan Buri,1900,225.32,19,2.25,843259,2006,Pneumonia
Zone:7,3475,217.43,33,2.06,1598232,2006,Pneumonia
Phetchaburi,1128,247.73,10,2.2,455332,2006,Pneumonia
Prachuap Khiri Khan,1042,212.39,0,0.0,490607,2006,Pneumonia
Samut Sakhon,806,176.27,0,0.0,457264,2006,Pneumonia
Samut Songkhram,499,255.86,23,11.79,195029,2006,Pneumonia
Zone:8,6749,226.23,27,0.91,2983258,2006,Pneumonia
Chachoengsao,3273,502.84,6,0.92,650909,2006,Pneumonia
Nakhon Nayok,471,188.11,2,0.8,250392,2006,Pneumonia
Prachin Buri,1186,262.55,11,2.44,451721,2006,Pneumonia
Sa Kaeo,442,82.21,2,0.37,537661,2006,Pneumonia
Samut Prakan,1377,126.03,6,0.55,1092575,2006,Pneumonia
Zone:9,5541,223.69,176,7.1,2477140,2006,Pneumonia
Chanthaburi,1835,366.8,38,7.6,500275,2006,Pneumonia
Chon Buri,1072,90.02,2,0.17,1190861,2006,Pneumonia
Rayong,1912,337.53,51,9.0,566461,2006,Pneumonia
Trat,722,328.86,85,38.72,219543,2006,Pneumonia
North-Eastern Region,45403,212.64,50,0.23,21352480,2006,Pneumonia
Zone:10,5784,163.71,0,0.0,3533061,2006,Pneumonia
Loei,641,104.59,0,0.0,612863,2006,Pneumonia
Nong Bua Lam Phu,784,157.85,0,0.0,496675,2006,Pneumonia
Nong Khai,1293,144.01,0,0.0,897840,2006,Pneumonia
Udon Thani,3066,200.96,0,0.0,1525683,2006,Pneumonia
Zone:11,4037,129.79,0,0.0,3110390,2006,Pneumonia
Kalasin,1437,147.45,0,0.0,974560,2006,Pneumonia
Mukdahan,453,135.31,0,0.0,334781,2006,Pneumonia
Nakhon Phanom,1398,201.3,0,0.0,694473,2006,Pneumonia
Sakon Nakhon,749,67.69,0,0.0,1106576,2006,Pneumonia
Zone:12,6877,172.07,2,0.05,3996666,2006,Pneumonia
Khon Kaen,3512,200.8,0,0.0,1749021,2006,Pneumonia
Maha Sarakham,1766,188.42,0,0.0,937285,2006,Pneumonia
Roi Et,1599,122.03,2,0.15,1310360,2006,Pneumonia
Zone:13,15422,234.44,45,0.68,6578271,2006,Pneumonia
Buri Ram,2706,176.39,1,0.07,1534076,2006,Pneumonia
Chaiyaphum,1900,169.94,2,0.18,1118040,2006,Pneumonia
Nakhon Ratchasima,5620,220.29,40,1.57,2551176,2006,Pneumonia
Surin,5196,377.9,2,0.15,1374979,2006,Pneumonia
Zone:14,13283,321.3,3,0.07,4134092,2006,Pneumonia
Amnat Charoen,1336,362.19,0,0.0,368863,2006,Pneumonia
Si Sa Ket,3907,270.34,1,0.07,1445230,2006,Pneumonia
Ubon Ratchathani,7230,406.43,2,0.11,1778922,2006,Pneumonia
Yasothon,810,149.7,0,0.0,541077,2006,Pneumonia
South Region,23029,269.07,116,1.36,8558652,2006,Pneumonia
Zone:15,5133,318.75,39,2.42,1610374,2006,Pneumonia
Chumphon,1173,245.72,0,0.0,477364,2006,Pneumonia
Ranong,468,261.47,19,10.62,178986,2006,Pneumonia
Surat Thani,3492,366.03,20,2.1,954024,2006,Pneumonia
Zone:16,5796,221.72,19,0.73,2614100,2006,Pneumonia
Nakhon Si Thammarat,2371,157.29,9,0.6,1507440,2006,Pneumonia
Phatthalung,1625,323.76,9,1.79,501912,2006,Pneumonia
Trang,1800,297.64,1,0.17,604748,2006,Pneumonia
Zone:17,2810,299.12,27,2.87,939424,2006,Pneumonia
Krabi,1358,339.91,8,2.0,399514,2006,Pneumonia
Phangnga,547,224.72,2,0.82,243419,2006,Pneumonia
Phuket,905,305.24,17,5.73,296491,2006,Pneumonia
Zone:18,5942,329.18,27,1.5,1805088,2006,Pneumonia
Narathiwat,2263,321.52,2,0.28,703848,2006,Pneumonia
Pattani,1520,239.35,22,3.46,635053,2006,Pneumonia
Yala,2159,463.12,3,0.64,466187,2006,Pneumonia
Zone:19,3348,210.61,4,0.25,1589666,2006,Pneumonia
Satun,626,223.81,0,0.0,279705,2006,Pneumonia
Songkhla,2722,207.79,4,0.31,1309961,2006,Pneumonia
Total,142250,226.03,1043,1.66,62933515,2007,Pneumonia
North Region,34557,290.85,373,3.14,11881352,2007,Pneumonia
Zone:1,20057,348.8,118,2.05,5750312,2007,Pneumonia
Chiang Mai,4616,277.85,4,0.24,1661349,2007,Pneumonia
Chiang Rai,5838,476.43,84,6.86,1225364,2007,Pneumonia
Lampang,2553,330.61,0,0.0,772202,2007,Pneumonia
Lamphun,1242,306.39,2,0.49,405361,2007,Pneumonia
Mae Hong Son,1602,628.26,6,2.35,254990,2007,Pneumonia
Nan,1300,272.24,10,2.09,477522,2007,Pneumonia
Phayao,1922,395.15,11,2.26,486399,2007,Pneumonia
Phrae,984,210.65,1,0.21,467125,2007,Pneumonia
Zone:2,8058,233.85,52,1.51,3445764,2007,Pneumonia
Phetchabun,1239,123.91,1,0.1,999924,2007,Pneumonia
Phitsanulok,1771,210.06,0,0.0,843096,2007,Pneumonia
Sukhothai,1443,237.7,23,3.79,607061,2007,Pneumonia
