Areas,Age,Cases,Year,Disease
ZONE:13,1-1,0,2019,Pediculosis Pubis
Bangkok,1-1,0,2019,Pediculosis Pubis
Total,2-2,0,2019,Pediculosis Pubis
ZONE:01,2-2,0,2019,Pediculosis Pubis
Chiang Mai,2-2,0,2019,Pediculosis Pubis
Chiang Rai,2-2,0,2019,Pediculosis Pubis
Lampang,2-2,0,2019,Pediculosis Pubis
Lamphun,2-2,0,2019,Pediculosis Pubis
Mae Hong Son,2-2,0,2019,Pediculosis Pubis
Nan,2-2,0,2019,Pediculosis Pubis
Phayao,2-2,0,2019,Pediculosis Pubis
Phrae,2-2,0,2019,Pediculosis Pubis
ZONE:02,2-2,0,2019,Pediculosis Pubis
Phetchabun,2-2,0,2019,Pediculosis Pubis
Phitsanulok,2-2,0,2019,Pediculosis Pubis
Sukhothai,2-2,0,2019,Pediculosis Pubis
Tak,2-2,0,2019,Pediculosis Pubis
Uttaradit,2-2,0,2019,Pediculosis Pubis
ZONE:03,2-2,0,2019,Pediculosis Pubis
Chai Nat,2-2,0,2019,Pediculosis Pubis
Kamphaeng Phet,2-2,0,2019,Pediculosis Pubis
Nakhon Sawan,2-2,0,2019,Pediculosis Pubis
Phichit,2-2,0,2019,Pediculosis Pubis
Uthai Thani,2-2,0,2019,Pediculosis Pubis
ZONE:04,2-2,0,2019,Pediculosis Pubis
Ang Thong,2-2,0,2019,Pediculosis Pubis
Lop Buri,2-2,0,2019,Pediculosis Pubis
Nakhon Nayok,2-2,0,2019,Pediculosis Pubis
Nonthaburi,2-2,0,2019,Pediculosis Pubis
P.Nakhon S.Ayutthaya,2-2,0,2019,Pediculosis Pubis
Pathum Thani,2-2,0,2019,Pediculosis Pubis
Saraburi,2-2,0,2019,Pediculosis Pubis
Sing Buri,2-2,0,2019,Pediculosis Pubis
ZONE:05,2-2,0,2019,Pediculosis Pubis
Kanchanaburi,2-2,0,2019,Pediculosis Pubis
Nakhon Pathom,2-2,0,2019,Pediculosis Pubis
Phetchaburi,2-2,0,2019,Pediculosis Pubis
Prachuap Khiri Khan,2-2,0,2019,Pediculosis Pubis
Ratchaburi,2-2,0,2019,Pediculosis Pubis
