Areas,Age,Cases,Year,Disease
Suphan Buri,1-1,0,2011,Mushroom poisoning
Zone:5,1-1,1,2011,Mushroom poisoning
Phetchaburi,1-1,0,2011,Mushroom poisoning
Prachuap Khiri Khan,1-1,1,2011,Mushroom poisoning
Samut Sakhon,1-1,0,2011,Mushroom poisoning
Samut Songkhram,1-1,0,2011,Mushroom poisoning
Zone:9,1-1,1,2011,Mushroom poisoning
Chanthaburi,1-1,0,2011,Mushroom poisoning
Chon Buri,1-1,0,2011,Mushroom poisoning
Rayong,1-1,0,2011,Mushroom poisoning
Trat,1-1,1,2011,Mushroom poisoning
South Region,1-1,1,2011,Mushroom poisoning
Zone:6,1-1,0,2011,Mushroom poisoning
Chumphon,1-1,0,2011,Mushroom poisoning
Nakhon Si Thammarat,1-1,0,2011,Mushroom poisoning
Phatthalung,1-1,0,2011,Mushroom poisoning
Surat Thani,1-1,0,2011,Mushroom poisoning
Zone:7,1-1,0,2011,Mushroom poisoning
Krabi,1-1,0,2011,Mushroom poisoning
Phangnga,1-1,0,2011,Mushroom poisoning
Phuket,1-1,0,2011,Mushroom poisoning
Ranong,1-1,0,2011,Mushroom poisoning
Trang,1-1,0,2011,Mushroom poisoning
Zone:8,1-1,1,2011,Mushroom poisoning
Narathiwat,1-1,0,2011,Mushroom poisoning
Pattani,1-1,0,2011,Mushroom poisoning
Satun,1-1,0,2011,Mushroom poisoning
Songkhla,1-1,1,2011,Mushroom poisoning
Yala,1-1,0,2011,Mushroom poisoning
North-Eastern Region,1-1,8,2011,Mushroom poisoning
Zone:10,1-1,1,2011,Mushroom poisoning
Bungkan,1-1,0,2011,Mushroom poisoning
Loei,1-1,1,2011,Mushroom poisoning
Nong Bua Lam Phu,1-1,0,2011,Mushroom poisoning
Nong Khai,1-1,0,2011,Mushroom poisoning
Udon Thani,1-1,0,2011,Mushroom poisoning
Zone:11,1-1,2,2011,Mushroom poisoning
Mukdahan,1-1,1,2011,Mushroom poisoning
Nakhon Phanom,1-1,1,2011,Mushroom poisoning
Sakon Nakhon,1-1,0,2011,Mushroom poisoning
Zone:12,1-1,0,2011,Mushroom poisoning
Kalasin,1-1,0,2011,Mushroom poisoning
Khon Kaen,1-1,0,2011,Mushroom poisoning
Maha Sarakham,1-1,0,2011,Mushroom poisoning
Roi Et,1-1,0,2011,Mushroom poisoning
Zone:13,1-1,4,2011,Mushroom poisoning
Amnat Charoen,1-1,0,2011,Mushroom poisoning
Si Sa Ket,1-1,0,2011,Mushroom poisoning
Ubon Ratchathani,1-1,4,2011,Mushroom poisoning
Yasothon,1-1,0,2011,Mushroom poisoning
Zone:14,1-1,1,2011,Mushroom poisoning
Buri Ram,1-1,0,2011,Mushroom poisoning
Chaiyaphum,1-1,1,2011,Mushroom poisoning
Nakhon Ratchasima,1-1,0,2011,Mushroom poisoning
Surin,1-1,0,2011,Mushroom poisoning
North Region,1-1,2,2011,Mushroom poisoning
Zone:15,1-1,1,2011,Mushroom poisoning
Chiang Mai,1-1,1,2011,Mushroom poisoning
Lampang,1-1,0,2011,Mushroom poisoning
Lamphun,1-1,0,2011,Mushroom poisoning
Mae Hong Son,1-1,0,2011,Mushroom poisoning
Zone:16,1-1,1,2011,Mushroom poisoning
Chiang Rai,1-1,1,2011,Mushroom poisoning
Nan,1-1,0,2011,Mushroom poisoning
Phayao,1-1,0,2011,Mushroom poisoning
Phrae,1-1,0,2011,Mushroom poisoning
Zone:17,1-1,0,2011,Mushroom poisoning
Phetchabun,1-1,0,2011,Mushroom poisoning
Phitsanulok,1-1,0,2011,Mushroom poisoning
Sukhothai,1-1,0,2011,Mushroom poisoning
Tak,1-1,0,2011,Mushroom poisoning
Uttaradit,1-1,0,2011,Mushroom poisoning
Zone:18,1-1,0,2011,Mushroom poisoning
Kamphaeng Phet,1-1,0,2011,Mushroom poisoning
Nakhon Sawan,1-1,0,2011,Mushroom poisoning
Phichit,1-1,0,2011,Mushroom poisoning
Uthai Thani,1-1,0,2011,Mushroom poisoning
Total,2-2,20,2011,Mushroom poisoning
Central Region,2-2,5,2011,Mushroom poisoning
Zone:0,2-2,0,2011,Mushroom poisoning
Bangkok,2-2,0,2011,Mushroom poisoning
