Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2016,Meningo
/100000  Pop.,/100000  pop.,ประชากร,,,,,2016,Meningo
ZONE:07,0,0.00,0,0.00,0.00,5049920,2016,Meningo
Kalasin,0,0.00,0,0.00,0.00,985055,2016,Meningo
Khon Kaen,0,0.00,0,0.00,0.00,1794032,2016,Meningo
Maha Sarakham,0,0.00,0,0.00,0.00,962592,2016,Meningo
Roi Et,0,0.00,0,0.00,0.00,1308241,2016,Meningo
ZONE:08,0,0.00,0,0.00,0.00,5511930,2016,Meningo
Bungkan,0,0.00,0,0.00,0.00,419607,2016,Meningo
Loei,0,0.00,0,0.00,0.00,636666,2016,Meningo
Nakhon Phanom,0,0.00,0,0.00,0.00,714369,2016,Meningo
Nong Bua Lam Phu,0,0.00,0,0.00,0.00,509469,2016,Meningo
Nong Khai,0,0.00,0,0.00,0.00,518420,2016,Meningo
Sakon Nakhon,0,0.00,0,0.00,0.00,1140673,2016,Meningo
Udon Thani,0,0.00,0,0.00,0.00,1572726,2016,Meningo
ZONE:09,0,0.00,0,0.00,0.00,6737604,2016,Meningo
Buri Ram,0,0.00,0,0.00,0.00,1581955,2016,Meningo
Chaiyaphum,0,0.00,0,0.00,0.00,1137651,2016,Meningo
Nakhon Ratchasima,0,0.00,0,0.00,0.00,2624668,2016,Meningo
Surin,0,0.00,0,0.00,0.00,1393330,2016,Meningo
ZONE:10,0,0.00,0,0.00,0.00,4581192,2016,Meningo
Amnat Charoen,0,0.00,0,0.00,0.00,375881,2016,Meningo
Mukdahan,0,0.00,0,0.00,0.00,347059,2016,Meningo
Si Sa Ket,0,0.00,0,0.00,0.00,1467006,2016,Meningo
Ubon Ratchathani,0,0.00,0,0.00,0.00,1851049,2016,Meningo
Yasothon,0,0.00,0,0.00,0.00,540197,2016,Meningo
ZONE:11,6,0.14,2,33.33,0.05,4383957,2016,Meningo
Chumphon,0,0.00,0,0.00,0.00,503203,2016,Meningo
Krabi,0,0.00,0,0.00,0.00,459456,2016,Meningo
Nakhon Si Thammarat,0,0.00,0,0.00,0.00,1550278,2016,Meningo
Phangnga,0,0.00,0,0.00,0.00,262721,2016,Meningo
Phuket,4,1.05,1,25.00,0.26,382485,2016,Meningo
Ranong,0,0.00,0,0.00,0.00,182313,2016,Meningo
Surat Thani,2,0.19,1,50.00,0.10,1043501,2016,Meningo
ZONE:12,3,0.06,0,0.00,0.00,4865646,2016,Meningo
Narathiwat,0,0.00,0,0.00,0.00,778941,2016,Meningo
Pattani,3,0.43,0,0.00,0.00,690104,2016,Meningo
Phatthalung,0,0.00,0,0.00,0.00,521570,2016,Meningo
