Areas,Age,Cases,Year,Disease
Zone: 10,1-1,0,2007,HepatitisB
Loei,1-1,0,2007,HepatitisB
Nong Bua Lam Phu,1-1,0,2007,HepatitisB
Nong Khai,1-1,0,2007,HepatitisB
Udon Thani,1-1,0,2007,HepatitisB
Zone: 11,1-1,0,2007,HepatitisB
Kalasin,1-1,0,2007,HepatitisB
Mukdahan,1-1,0,2007,HepatitisB
Nakhon Phanom,1-1,0,2007,HepatitisB
Sakon Nakhon,1-1,0,2007,HepatitisB
Zone: 12,1-1,0,2007,HepatitisB
Khon Kaen,1-1,0,2007,HepatitisB
Maha Sarakham,1-1,0,2007,HepatitisB
Roi Et,1-1,0,2007,HepatitisB
Zone: 13,1-1,0,2007,HepatitisB
Buri Ram,1-1,0,2007,HepatitisB
Chaiyaphum,1-1,0,2007,HepatitisB
Nakhon Ratchasima,1-1,0,2007,HepatitisB
Surin,1-1,0,2007,HepatitisB
Zone: 14,1-1,0,2007,HepatitisB
Amnat Charoen,1-1,0,2007,HepatitisB
Si Sa Ket,1-1,0,2007,HepatitisB
Ubon Ratchathani,1-1,0,2007,HepatitisB
Yasothon,1-1,0,2007,HepatitisB
South Region,1-1,0,2007,HepatitisB
Zone: 15,1-1,0,2007,HepatitisB
Chumphon,1-1,0,2007,HepatitisB
Ranong,1-1,0,2007,HepatitisB
Surat Thani,1-1,0,2007,HepatitisB
Zone: 16,1-1,0,2007,HepatitisB
Nakhon Si Thammarat,1-1,0,2007,HepatitisB
Phatthalung,1-1,0,2007,HepatitisB
Trang,1-1,0,2007,HepatitisB
Zone: 17,1-1,0,2007,HepatitisB
Krabi,1-1,0,2007,HepatitisB
Phangnga,1-1,0,2007,HepatitisB
Phuket,1-1,0,2007,HepatitisB
Zone: 18,1-1,0,2007,HepatitisB
Narathiwat,1-1,0,2007,HepatitisB
Pattani,1-1,0,2007,HepatitisB
Yala,1-1,0,2007,HepatitisB
