Areas,Age,Cases,Year,Disease
Phayao,1-1,0,2018,Cholera
Phrae,1-1,0,2018,Cholera
ZONE:02,1-1,0,2018,Cholera
Phetchabun,1-1,0,2018,Cholera
Phitsanulok,1-1,0,2018,Cholera
Sukhothai,1-1,0,2018,Cholera
Tak,1-1,0,2018,Cholera
Uttaradit,1-1,0,2018,Cholera
ZONE:03,1-1,0,2018,Cholera
Chai Nat,1-1,0,2018,Cholera
Kamphaeng Phet,1-1,0,2018,Cholera
Nakhon Sawan,1-1,0,2018,Cholera
Phichit,1-1,0,2018,Cholera
Uthai Thani,1-1,0,2018,Cholera
ZONE:04,1-1,0,2018,Cholera
Ang Thong,1-1,0,2018,Cholera
Lop Buri,1-1,0,2018,Cholera
Nakhon Nayok,1-1,0,2018,Cholera
Nonthaburi,1-1,0,2018,Cholera
P.Nakhon S.Ayutthaya,1-1,0,2018,Cholera
Pathum Thani,1-1,0,2018,Cholera
Saraburi,1-1,0,2018,Cholera
Sing Buri,1-1,0,2018,Cholera
ZONE:05,1-1,0,2018,Cholera
Kanchanaburi,1-1,0,2018,Cholera
Nakhon Pathom,1-1,0,2018,Cholera
Phetchaburi,1-1,0,2018,Cholera
Prachuap Khiri Khan,1-1,0,2018,Cholera
Ratchaburi,1-1,0,2018,Cholera
Samut Sakhon,1-1,0,2018,Cholera
Samut Songkhram,1-1,0,2018,Cholera
Suphan Buri,1-1,0,2018,Cholera
ZONE:06,1-1,0,2018,Cholera
Chachoengsao,1-1,0,2018,Cholera
Chanthaburi,1-1,0,2018,Cholera
Chon Buri,1-1,0,2018,Cholera
Prachin Buri,1-1,0,2018,Cholera
Rayong,1-1,0,2018,Cholera
Sa Kaeo,1-1,0,2018,Cholera
Samut Prakan,1-1,0,2018,Cholera
Trat,1-1,0,2018,Cholera
ZONE:07,1-1,0,2018,Cholera
Kalasin,1-1,0,2018,Cholera
Khon Kaen,1-1,0,2018,Cholera
Maha Sarakham,1-1,0,2018,Cholera
Roi Et,1-1,0,2018,Cholera
ZONE:08,1-1,0,2018,Cholera
Bungkan,1-1,0,2018,Cholera
Loei,1-1,0,2018,Cholera
Nakhon Phanom,1-1,0,2018,Cholera
Nong Bua Lam Phu,1-1,0,2018,Cholera
Nong Khai,1-1,0,2018,Cholera
Sakon Nakhon,1-1,0,2018,Cholera
Udon Thani,1-1,0,2018,Cholera
ZONE:09,1-1,0,2018,Cholera
Buri Ram,1-1,0,2018,Cholera
Chaiyaphum,1-1,0,2018,Cholera
Nakhon Ratchasima,1-1,0,2018,Cholera
Surin,1-1,0,2018,Cholera
ZONE:10,1-1,0,2018,Cholera
Amnat Charoen,1-1,0,2018,Cholera
Mukdahan,1-1,0,2018,Cholera
Si Sa Ket,1-1,0,2018,Cholera
Ubon Ratchathani,1-1,0,2018,Cholera
Yasothon,1-1,0,2018,Cholera
ZONE:11,1-1,0,2018,Cholera
Chumphon,1-1,0,2018,Cholera
Krabi,1-1,0,2018,Cholera
Nakhon Si Thammarat,1-1,0,2018,Cholera
Phangnga,1-1,0,2018,Cholera
Phuket,1-1,0,2018,Cholera
Ranong,1-1,0,2018,Cholera
Surat Thani,1-1,0,2018,Cholera
ZONE:12,1-1,0,2018,Cholera
Narathiwat,1-1,0,2018,Cholera
Pattani,1-1,0,2018,Cholera
Phatthalung,1-1,0,2018,Cholera
Satun,1-1,0,2018,Cholera
Songkhla,1-1,0,2018,Cholera
Trang,1-1,0,2018,Cholera
Yala,1-1,0,2018,Cholera
ZONE:13,1-1,1,2018,Cholera
Bangkok,1-1,1,2018,Cholera
Total,2-2,0,2018,Cholera
ZONE:01,2-2,0,2018,Cholera
Chiang Mai,2-2,0,2018,Cholera
Chiang Rai,2-2,0,2018,Cholera
Lampang,2-2,0,2018,Cholera
Lamphun,2-2,0,2018,Cholera
Mae Hong Son,2-2,0,2018,Cholera
Nan,2-2,0,2018,Cholera
Phayao,2-2,0,2018,Cholera
Phrae,2-2,0,2018,Cholera
ZONE:02,2-2,0,2018,Cholera
Phetchabun,2-2,0,2018,Cholera
Phitsanulok,2-2,0,2018,Cholera
Sukhothai,2-2,0,2018,Cholera
Tak,2-2,0,2018,Cholera
Uttaradit,2-2,0,2018,Cholera
ZONE:03,2-2,0,2018,Cholera
Chai Nat,2-2,0,2018,Cholera
Kamphaeng Phet,2-2,0,2018,Cholera
Nakhon Sawan,2-2,0,2018,Cholera
Phichit,2-2,0,2018,Cholera
Uthai Thani,2-2,0,2018,Cholera
ZONE:04,2-2,0,2018,Cholera
Ang Thong,2-2,0,2018,Cholera
Lop Buri,2-2,0,2018,Cholera
Nakhon Nayok,2-2,0,2018,Cholera
Nonthaburi,2-2,0,2018,Cholera
P.Nakhon S.Ayutthaya,2-2,0,2018,Cholera
Pathum Thani,2-2,0,2018,Cholera
Saraburi,2-2,0,2018,Cholera
Sing Buri,2-2,0,2018,Cholera
ZONE:05,2-2,0,2018,Cholera
Kanchanaburi,2-2,0,2018,Cholera
Nakhon Pathom,2-2,0,2018,Cholera
Phetchaburi,2-2,0,2018,Cholera
Prachuap Khiri Khan,2-2,0,2018,Cholera
Ratchaburi,2-2,0,2018,Cholera
Samut Sakhon,2-2,0,2018,Cholera
Samut Songkhram,2-2,0,2018,Cholera
Suphan Buri,2-2,0,2018,Cholera
ZONE:06,2-2,0,2018,Cholera
Chachoengsao,2-2,0,2018,Cholera
Chanthaburi,2-2,0,2018,Cholera
Chon Buri,2-2,0,2018,Cholera
Prachin Buri,2-2,0,2018,Cholera
Rayong,2-2,0,2018,Cholera
Sa Kaeo,2-2,0,2018,Cholera
Samut Prakan,2-2,0,2018,Cholera
Trat,2-2,0,2018,Cholera
ZONE:07,2-2,0,2018,Cholera
Kalasin,2-2,0,2018,Cholera
Khon Kaen,2-2,0,2018,Cholera
Maha Sarakham,2-2,0,2018,Cholera
Roi Et,2-2,0,2018,Cholera
ZONE:08,2-2,0,2018,Cholera
Bungkan,2-2,0,2018,Cholera
Loei,2-2,0,2018,Cholera
Nakhon Phanom,2-2,0,2018,Cholera
Nong Bua Lam Phu,2-2,0,2018,Cholera
Nong Khai,2-2,0,2018,Cholera
Sakon Nakhon,2-2,0,2018,Cholera
Udon Thani,2-2,0,2018,Cholera
ZONE:09,2-2,0,2018,Cholera
Buri Ram,2-2,0,2018,Cholera
Chaiyaphum,2-2,0,2018,Cholera
Nakhon Ratchasima,2-2,0,2018,Cholera
Surin,2-2,0,2018,Cholera
ZONE:10,2-2,0,2018,Cholera
Amnat Charoen,2-2,0,2018,Cholera
Mukdahan,2-2,0,2018,Cholera
Si Sa Ket,2-2,0,2018,Cholera
Ubon Ratchathani,2-2,0,2018,Cholera
Yasothon,2-2,0,2018,Cholera
ZONE:11,2-2,0,2018,Cholera
Chumphon,2-2,0,2018,Cholera
Krabi,2-2,0,2018,Cholera
Nakhon Si Thammarat,2-2,0,2018,Cholera
Phangnga,2-2,0,2018,Cholera
Phuket,2-2,0,2018,Cholera
Ranong,2-2,0,2018,Cholera
Surat Thani,2-2,0,2018,Cholera
ZONE:12,2-2,0,2018,Cholera
Narathiwat,2-2,0,2018,Cholera
Pattani,2-2,0,2018,Cholera
Phatthalung,2-2,0,2018,Cholera
Satun,2-2,0,2018,Cholera
Songkhla,2-2,0,2018,Cholera
Trang,2-2,0,2018,Cholera
Yala,2-2,0,2018,Cholera
ZONE:13,2-2,0,2018,Cholera
Bangkok,2-2,0,2018,Cholera
Total,3-3,0,2018,Cholera
ZONE:01,3-3,0,2018,Cholera
Chiang Mai,3-3,0,2018,Cholera
Chiang Rai,3-3,0,2018,Cholera
Lampang,3-3,0,2018,Cholera
Lamphun,3-3,0,2018,Cholera
Mae Hong Son,3-3,0,2018,Cholera
Nan,3-3,0,2018,Cholera
Phayao,3-3,0,2018,Cholera
Phrae,3-3,0,2018,Cholera
ZONE:02,3-3,0,2018,Cholera
Phetchabun,3-3,0,2018,Cholera
Phitsanulok,3-3,0,2018,Cholera
Sukhothai,3-3,0,2018,Cholera
Tak,3-3,0,2018,Cholera
