disease,file_name,remote_url,remote_size,local_path,local_exists,local_size,tag,download_result
DHF Total,tad_DHF_Total_59.rtf,http://doe1.moph.go.th/surdata/y59/tad_DHF_Total_59.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_59.rtf,yes,73193,skip,
DHF Total,tad_DHF_Total_60.rtf,http://doe1.moph.go.th/surdata/y60/tad_DHF_Total_60.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_60.rtf,yes,73194,skip,
DHF Total,tad_DHF_Total_61.rtf,http://doe1.moph.go.th/surdata/y61/tad_DHF_Total_61.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_61.rtf,yes,73203,skip,
DHF Total,tad_DHF_Total_62.rtf,http://doe1.moph.go.th/surdata/y62/tad_DHF_Total_62.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_62.rtf,yes,73209,skip,
DHF Total,tad_DHF_Total_63.rtf,http://doe1.moph.go.th/surdata/y63/tad_DHF_Total_63.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_63.rtf,yes,73193,skip,
DHF Total,tad_DHF_Total_64.rtf,http://doe1.moph.go.th/surdata/y64/tad_DHF_Total_64.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_64.rtf,yes,73209,skip,
DHF Total,tad_DHF_Total_65.rtf,http://doe1.moph.go.th/surdata/y65/tad_DHF_Total_65.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_65.rtf,yes,73210,skip,
DHF Total,tad_DHF_Total_66.rtf,http://doe1.moph.go.th/surdata/y66/tad_DHF_Total_66.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_66.rtf,yes,73231,skip,
DHF Total,tad_DHF_Total_67.rtf,http://doe1.moph.go.th/surdata/y67/tad_DHF_Total_67.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_67.rtf,yes,73218,skip,
DHF Total,trace_DHF_Total_47.rtf,http://doe1.moph.go.th/surdata/y47/trace_DHF_Total_47.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_47.rtf,yes,85612,skip,
DHF Total,trace_DHF_Total_48.rtf,http://doe1.moph.go.th/surdata/y48/trace_DHF_Total_48.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_48.rtf,yes,84172,skip,
DHF Total,trace_DHF_Total_49.rtf,http://doe1.moph.go.th/surdata/y49/trace_DHF_Total_49.rtf,,Code/Data/GetData/DHF Total/trace_DHF_Total_49.rtf,yes,84158,skip,
